TAU_SC_ERR,JNAME,DM,TAU_SC,DM_ERR
,J1202-5820,145.41,,0.19
,J1203-6242,,,
,J1204-6843,133.93,,0.09
,J1207-4508,84.5,,0.5
,J1207-5050,50.64,,0.002
,J1208-6238,,,
,J1210-5226,,,
1.4e-06,J1210-5559,174.347,6.5e-06,0.003
,J1210-6322,547.0,,5.0
,J1210-6550,37.0,,6.0
,J1211-6324,333.8,,1.1
,J1214-5830,141.1,,0.7
,J1215-5328,163.0,,0.5
,J1216-50,110.0,,20.0
,J1216-6223,790.0,,1.0
,J1216-6410,47.3933,,0.0002
,J1220-6318,347.0,,3.0
,J1221-0633,16.43,,0.002
,J1222-5738,74.0,,6.0
,J1223-5856,233.0,,3.0
,J1224-6208,454.2,,0.7
,J1224-6407,97.686,,0.004
,J1225-5556,125.835,,0.007
,J1225-6035,176.1,,1.0
,J1225-6408,415.1,,0.5
,J1226+0005,18.5,,0.01
,J1226-3223,36.7,,
,J1227-4853,43.4235,,0.0007
,J1227-6208,362.913,,0.003
,J1227-63,359.0,,4.0
,J1231-1411,8.0884,,0.0004
,J1231-4609,67.4,,0.3
,J1231-5113,,,
,J1231-6303,301.0,,10.0
,J1231-6511,,,
,J1232-4742,26.0,,3.0
,J1232-6501,239.4,,0.5
,J1233-6312,414.0,,13.0
,J1233-6344,495.0,,9.0
,J1234-3630,59.29,,0.15
,J1235-54,100.0,,20.0
,J1235-6354,439.9,,1.9
,J1236-0159,19.08,,0.03
,J1236-5033,105.02,,0.11
,J1237-6725,176.5,,0.3
,J1238+2152,17.9706,,0.0031
,J1239+2453,9.25159,5.4e-09,0.00053
,J1239+32,16.85,,0.005
,J1239-48,107.6,,
,J1239-6832,94.3,,0.3
,J1240-4124,44.1,,1.2
,J1242+39,26.0,,1.0
,J1243+17,5.0,,3.0
,J1243-5735,270.6,,1.9
,J1243-6423,297.09,,0.02
,J1244-1812,15.5,,1.0
,J1244-5053,109.95,,0.12
,J1244-6359,286.0,,1.0
,J1244-6531,388.0,,2.0
,J1245-6238,336.2,,2.0
,J1246+2253,17.792,,0.003
,J1248-6344,433.0,,0.6
,J1248-6444,236.4,,1.1
,J1249-6507,215.0,,4.0
,J1251-7407,89.81,,0.05
,J1252+53,20.7,,0.03
,J1252-6314,278.4,,1.3
,J1253-5820,100.584,,0.004
,J1254-6150,95.0,,3.0
,J1255-46,42.9,,
,J1255-6131,206.5,,1.7
,J1255-62,713.0,,4.0
,J1257-1027,29.634,,0.009
,J1259-6741,94.7,,0.9
9e-09,J1300+1240,10.1655,2.2e-08,3e-05
,J1300-6602,460.0,,3.0
,J1301+0833,13.2,,
,J1301-6305,374.0,,1.0
,J1301-6310,86.1,,1.2
,J1302-3258,26.186,,0.0007
,J1302-63,875.0,,10.0
,J1302-6313,500.0,,21.0
,J1302-6350,146.73,,0.01
,J1303+38,19.0,,0.009
,J1303-6305,343.0,,3.0
,J1304+12,,,
0.0002,J1305-6203,468.78,0.0104,0.05
,J1305-6256,967.0,,3.0
4e-07,J1305-6455,505.0,0.0007064,0.3
,J1305-66,316.1,,
,J1306-4035,35.0,,
,J1306-6242,480.0,,6.0
,J1306-6617,436.9,0.00692,0.2
,J1307-6318,374.0,,8.0
,J1307-67,44.0,,2.0
,J1308+2127,,,
,J1308-23,22.357,,0.001
,J1308-4650,66.0,,10.0
,J1308-5844,205.6,,1.1
,J1309-6415,574.0,,5.0
,J1309-6526,340.0,,4.0
,J1311-1228,36.214,,0.008
,J1311-3430,37.84,,0.26
,J1312+0051,15.345,,0.001
,J1312+1810A,24.0,,1.5
,J1312+1810B,25.959,,0.0
,J1312+1810C,26.106,,0.0
,J1312+1810D,24.6,,0.0
,J1312-5402,133.0,,2.0
,J1312-5516,134.1,,1.6
